,Distance_to_Shore,Turbidity,Cyclone_Frequency,Depth_m,Windspeed,SSTA,SSTA_Frequency,SSTA_DHW,TSA,Temperature_Maximum_C,Exposure_cat,Realm_Central Indo-Pacific,Realm_Eastern Indo-Pacific,Realm_Temperate Australasia,Realm_Temperate Northern Atlantic,Realm_Temperate Northern Pacific,Realm_Tropical Atlantic,Realm_Tropical Eastern Pacific,Realm_Western Indo-Pacific
17809,-0.2774428261299343,-0.3934602221773511,0.8483200528918073,-0.07160872355653265,2.561008544899954,-0.2281235892946422,-0.7888202425039285,-0.4770148875935153,0.5394606390103512,1.0751565580293818,-0.9228683347360153,1,0,0,0,0,0,0,0
17147,-0.27942248299612926,4.866107952464609,-0.19671832021002544,-0.29814238836879914,0.5885471055216451,2.3768295090315346,1.1118477141606,1.4153039966526488,1.602522269426292,1.6690160688265514,-0.9228683347360153,0,0,0,0,0,0,0,1
21403,-0.2270809309736066,-0.47253882237190387,0.40515541570025887,-1.4308107124301317,0.5885471055216451,-0.14561376265082665,-0.7888202425039285,-0.45362886636699223,-1.9737891115105721,0.5219723561909306,-0.9228683347360153,0,0,0,0,0,1,0,0
13827,-0.26975963853031176,3.0674904288906304,-0.46164043114822384,-0.5699827861435189,-1.877029693701241,0.3965936695799612,-0.15526425694908566,-0.14181525001335032,0.7791103707226154,0.9043202604028197,-0.9228683347360153,1,0,0,0,0,0,0,0
2078,-0.26290899245386923,0.11466184715786061,0.9533122258903559,-0.29814238836879914,0.09543174567706793,0.30229672484417197,0.9534587177718893,-0.3815219675852125,-1.469910188423248,-1.6988995129546085,-0.9228683347360153,0,0,0,0,1,0,0,0
5624,-0.25453975924716415,-0.15285937477690315,1.1266713952600527,-1.3175438800239985,-0.8907989740120865,0.4555292600398294,1.2702367105493106,-0.6777449031211723,-0.400703693091608,-0.8528530866134398,-0.9228683347360153,0,0,0,0,0,1,0,0
32416,-0.14983441921485402,2.8134293942230255,-0.5641909257049453,-1.4308107124301317,-0.8907989740120865,1.4574342978575896,0.9534587177718893,0.6396676259729647,-1.1442323478911967,-0.5193155531520037,-0.9228683347360153,0,0,1,0,0,0,0,0
1262,-0.2697753345213222,0.9862089727063363,-0.9377677273044325,-0.29814238836879914,-0.3976836141675093,0.5380390866836451,-0.6304312461152177,0.6260257802574929,-0.6219188300567751,-0.14510271073189537,-0.9228683347360153,1,0,0,0,0,0,0,0
17589,-0.2788240733388553,-0.26558844313935076,0.504043392594241,-0.29814238836879914,0.09543174567706793,1.6578153054211417,-0.47204224972650705,0.23820759491765076,1.5103492956908058,0.06640889585338527,-0.9228683347360153,1,0,0,0,0,0,0,0
18073,-0.26973086254679257,-0.07882834480753453,0.2757464582834429,-0.8644765503994654,-0.8907989740120865,-0.6406727225137199,0.6366807249944678,0.269388956553015,0.07859577033292023,0.9368605075697574,-0.9228683347360153,1,0,0,0,0,0,0,0
32454,-0.1526610055959886,-0.42542816693685115,-2.3588245804475787,0.472072071992907,-0.3976836141675093,0.5851875590515395,1.4286257069380213,0.746853556594529,0.7852552356383145,-0.3647493791089104,1.2061526052343166,0,0,0,0,0,1,0,0
